                 line1                  |            City            |       district       |                country                
----------------------------------------+----------------------------+----------------------+---------------------------------------
 939 Probolinggo Loop                   | A Corua (La Corua)         | Galicia              | Spain
 733 Mandaluyong Place                  | Abha                       | Asir                 | Saudi Arabia
 535 Ahmadnagar Manor                   | Abu Dhabi                  | Abu Dhabi            | United Arab Emirates
 1789 Saint-Denis Parkway               | Acua                       | Coahuila de Zaragoza | Mexico
 663 Baha Blanca Parkway                | Adana                      | Adana                | Turkey
 614 Pak Kret Street                    | Addis Abeba                | Addis Abeba          | Ethiopia
 751 Lima Loop                          | Aden                       | Aden                 | Yemen
 230 Urawa Drive                        | Adoni                      | Andhra Pradesh       | India
 922 Vila Velha Loop                    | Ahmadnagar                 | Maharashtra          | India
 923 Tangail Boulevard                  | Akishima                   | Tokyo-to             | Japan
 98 Pyongyang Boulevard                 | Akron                      | Ohio                 | Murica
 127 Purnea (Purnia) Manor              | Alessandria                | Piemonte             | Italy
 431 Xiangtan Avenue                    | Allappuzha (Alleppey)      | Kerala               | India
 397 Sunnyvale Avenue                   | Allende                    | Guanajuato           | Mexico
 1623 Kingstown Drive                   | Almirante Brown            | Buenos Aires         | Argentina
 1407 Pachuca de Soto Place             | Alvorada                   | Rio Grande do Sul    | Brazil
 1014 Loja Manor                        | Ambattur                   | Tamil Nadu           | India
 992 Klerksdorp Loop                    | Amersfoort                 | Utrecht              | Netherlands
 949 Allende Lane                       | Amroha                     | Uttar Pradesh        | India
 1354 Siegen Street                     | Angra dos Reis             | Rio de Janeiro       | Brazil
 356 Olomouc Manor                      | Anpolis                    | Gois                 | Brazil
 1718 Valencia Street                   | Antofagasta                | Antofagasta          | Chile
 1201 Qomsheh Manor                     | Aparecida de Goinia        | Gois                 | Brazil
 1749 Daxian Place                      | Apeldoorn                  | Gelderland           | Netherlands
 1692 Ede Loop                          | Araatuba                   | So Paulo             | Brazil
 334 Munger (Monghyr) Lane              | Arak                       | Markazi              | Iran
 1009 Zanzibar Lane                     | Arecibo                    | Arecibo              | Puerto Rico
 913 Coacalco de Berriozbal Loop        | Arlington                  | Texas                | Murica
 659 Vaduz Drive                        | Ashdod                     | Ha Darom             | Israel
 387 Mwene-Ditu Drive                   | Ashgabat                   | Ahal                 | Turkmenistan
 632 Usolje-Sibirskoje Parkway          | Ashqelon                   | Ha Darom             | Israel
 201 Effon-Alaiye Way                   | Asuncin                    | Asuncin              | Paraguay
 692 Joliet Street                      | Athenai                    | Attika               | Greece
 616 Hagonoy Avenue                     | Atinsk                     | Krasnojarsk          | Russian Federation
 125 Citt del Vaticano Boulevard        | Atlixco                    | Puebla               | Mexico
 1308 Arecibo Way                       | Augusta-Richmond County    | Georgia              | Murica
 587 Benguela Manor                     | Aurora                     | Illinois             | Murica
 43 Vilnius Manor                       | Aurora                     | Colorado             | Murica
 1229 Varanasi (Benares) Manor          | Avellaneda                 | Buenos Aires         | Argentina
 1190 0 Place                           | Bag                        | Rio Grande do Sul    | Brazil
 1427 A Corua (La Corua) Place          | Baha Blanca                | Buenos Aires         | Argentina
 183 Haiphong Street                    | Baicheng                   | Jilin                | China
 362 Rajkot Lane                        | Baiyin                     | Gansu                | China
 431 Szkesfehrvr Avenue                 | Baku                       | Baki                 | Azerbaijan
 1697 Kowloon and New Kowloon Loop      | Balaiha                    | Moskova              | Russian Federation
 1912 Emeishan Drive                    | Balikesir                  | Balikesir            | Turkey
 624 Oshawa Boulevard                   | Balurghat                  | West Bengali         | India
 1641 Changhwa Place                    | Bamenda                    | Nord-Ouest           | Cameroon
 1370 Le Mans Avenue                    | Bandar Seri Begawan        | Brunei and Muara     | Brunei
 247 Jining Parkway                     | Banjul                     | Banjul               | Gambia
 502 Mandi Bahauddin Parkway            | Barcelona                  | Anzotegui            | Venezuela
 915 Ponce Place                        | Basel                      | Basel-Stadt          | Switzerland
 1542 Lubumbashi Boulevard              | Bat Yam                    | Tel Aviv             | Israel
 29 Pyongyang Loop                      | Batman                     | Batman               | Turkey
 1924 Shimonoseki Drive                 | Batna                      | Batna                | Algeria
 1768 Udine Loop                        | Battambang                 | Battambang           | Cambodia
 492 Cam Ranh Street                    | Baybay                     | Eastern Visayas      | Philippines
 1166 Changhwa Street                   | Bayugan                    | Caraga               | Philippines
 1031 Daugavpils Parkway                | Bchar                      | Bchar                | Algeria
 771 Yaound Manor                       | Beira                      | Sofala               | Mozambique
 660 Jedda Boulevard                    | Bellevue                   | Washington           | Murica
 1163 London Parkway                    | Belm                       | Par                  | Brazil
 486 Ondo Parkway                       | Benguela                   | Benguela             | Angola
 454 Qinhuangdao Drive                  | Beni-Mellal                | Tadla-Azilal         | Morocco
 1279 Udine Parkway                     | Benin City                 | Edo & Delta          | Nigeria
 231 Kaliningrad Place                  | Bergamo                    | Lombardia            | Italy
 126 Acua Parkway                       | Berhampore (Baharampur)    | West Bengali         | India
 185 Novi Sad Place                     | Bern                       | Bern                 | Switzerland
 97 Mogiljov Lane                       | Bhavnagar                  | Gujarat              | India
 43 Dadu Avenue                         | Bhilwara                   | Rajasthan            | India
 635 Brest Manor                        | Bhimavaram                 | Andhra Pradesh       | India
 419 Iligan Lane                        | Bhopal                     | Madhya Pradesh       | India
 642 Nador Drive                        | Bhusawal                   | Maharashtra          | India
 1257 Guadalajara Street                | Bijapur                    | Karnataka            | India
 1741 Hoshiarpur Boulevard              | Bilbays                    | al-Sharqiya          | Egypt
 1332 Gaziantep Lane                    | Binzhou                    | Shandong             | China
 470 Boksburg Street                    | Birgunj                    | Central              | Nepal
 152 Kitwe Parkway                      | Bislig                     | Caraga               | Philippines
 1304 s-Hertogenbosch Way               | Blumenau                   | Santa Catarina       | Brazil
 1293 Nam Dinh Way                      | Boa Vista                  | Roraima              | Brazil
 569 Baicheng Lane                      | Boksburg                   | Gauteng              | South Africa
 1256 Bislig Boulevard                  | Botosani                   | Botosani             | Romania
 898 Belm Manor                         | Botshabelo                 | Free State           | South Africa
 1557 Ktahya Boulevard                  | Bradford                   | England              | United Kingdom
 981 Kumbakonam Place                   | Braslia                    | Distrito Federal     | Brazil
 482 Kowloon and New Kowloon Manor      | Bratislava                 | Bratislava           | Slovakia
 1224 Huejutla de Reyes Boulevard       | Brescia                    | Lombardia            | Italy
 1346 Mysore Drive                      | Brest                      | Bretagne             | France
 1 Valle de Santiago Avenue             | Brindisi                   | Apulia               | Italy
 782 Mosul Street                       | Brockton                   | Massachusetts        | Murica
 1342 Abha Boulevard                    | Bucuresti                  | Bukarest             | Romania
 98 Stara Zagora Boulevard              | Buenaventura               | Valle                | Colombia
 1769 Iwaki Lane                        | Bydgoszcz                  | Kujawsko-Pomorskie   | Poland
 1061 Ede Avenue                        | Cabuyao                    | Southern Tagalog     | Philippines
 827 Yuncheng Drive                     | Callao                     | Callao               | Peru
 1817 Livorno Way                       | Cam Ranh                   | Khanh Hoa            | Vietnam
 1427 Tabuk Place                       | Cape Coral                 | Florida              | Murica
 1378 Alvorada Avenue                   | Caracas                    | Distrito Federal     | Venezuela
 1819 Alessandria Loop                  | Carmen                     | Campeche             | Mexico
 717 Changzhou Lane                     | Cavite                     | Southern Tagalog     | Philippines
 698 Otsu Street                        | Cayenne                    | Cayenne              | French Guiana
 1402 Zanzibar Boulevard                | Celaya                     | Guanajuato           | Mexico
 1540 Wroclaw Drive                     | Chandrapur                 | Maharashtra          | India
 1551 Rampur Lane                       | Changhwa                   | Changhwa             | Taiwan
 817 Bradford Loop                      | Changzhou                  | Jiangsu              | China
 1747 Rustenburg Place                  | Chapra                     | Bihar                | India
 264 Bhimavaram Manor                   | Charlotte Amalie           | St Thomas            | Virgin Islands, U.S.
 1497 Fengshan Drive                    | Chatsworth                 | KwaZulu-Natal        | South Africa
 1942 Ciparay Parkway                   | Cheju                      | Cheju                | South Korea
 1947 Poos de Caldas Boulevard          | Chiayi                     | Chiayi               | Taiwan
 269 Cam Ranh Parkway                   | Chisinau                   | Chisinau             | Moldova
 608 Birgunj Parkway                    | Chungho                    | Taipei               | Taiwan
 1445 Carmen Parkway                    | Cianjur                    | West Java            | Indonesia
 47 Syktyvkar Lane                      | Ciomas                     | West Java            | Indonesia
 1860 Taguig Loop                       | Ciparay                    | West Java            | Indonesia
 770 Bydgoszcz Avenue                   | Citrus Heights             | California           | Murica
 18 Duisburg Boulevard                  | Citt del Vaticano          |                      | Holy See (Vatican City State)
 1679 Antofagasta Street                | Ciudad del Este            | Alto Paran           | Paraguay
 1666 Beni-Mellal Place                 | Clarksville                | Tennessee            | Murica
 1473 Changhwa Parkway                  | Coacalco de Berriozbal     | Mxico                | Mexico
 1785 So Bernardo do Campo Street       | Coatzacoalcos              | Veracruz             | Mexico
 533 al-Ayn Boulevard                   | Compton                    | California           | Murica
 568 Dhule (Dhulia) Loop                | Coquimbo                   | Coquimbo             | Chile
 96 Tafuna Way                          | Crdoba                     | Crdoba               | Argentina
 1447 Chatsworth Place                  | Cuauhtmoc                  | Chihuahua            | Mexico
 479 San Felipe del Progreso Avenue     | Cuautla                    | Morelos              | Mexico
 186 Skikda Lane                        | Cuernavaca                 | Morelos              | Mexico
 1079 Tel Aviv-Jaffa Boulevard          | Cuman                      | Sucre                | Venezuela
 1405 Hagonoy Avenue                    | Czestochowa                | Slaskie              | Poland
 966 Arecibo Loop                       | Dadu                       | Sind                 | Pakistan
 530 Lausanne Lane                      | Dallas                     | Texas                | Murica
 1158 Mandi Bahauddin Parkway           | Datong                     | Shanxi               | China
 1673 Tangail Drive                     | Daugavpils                 | Daugavpils           | Latvia
 217 Botshabelo Place                   | Davao                      | Southern Mindanao    | Philippines
 1966 Amroha Avenue                     | Daxian                     | Sichuan              | China
 32 Pudukkottai Lane                    | Dayton                     | Ohio                 | Murica
 1936 Lapu-Lapu Parkway                 | Deba Habe                  | Bauchi & Gombe       | Nigeria
 698 Jelets Boulevard                   | Denizli                    | Denizli              | Turkey
 1838 Tabriz Lane                       | Dhaka                      | Dhaka                | Bangladesh
 495 Bhimavaram Lane                    | Dhule (Dhulia)             | Maharashtra          | India
 1322 Mosul Parkway                     | Dongying                   | Shandong             | China
 44 Najafabad Way                       | Donostia-San Sebastin      | Baskimaa             | Spain
 241 Mosul Lane                         | Dos Quebradas              | Risaralda            | Colombia
 442 Rae Bareli Place                   | Duisburg                   | Nordrhein-Westfalen  | Germany
 483 Ljubertsy Parkway                  | Dundee                     | Scotland             | United Kingdom
 740 Udaipur Lane                       | Dzerzinsk                  | Nizni Novgorod       | Russian Federation
 1217 Konotop Avenue                    | Ede                        | Gelderland           | Netherlands
 1155 Liaocheng Place                   | Effon-Alaiye               | Oyo & Osun           | Nigeria
 659 Gatineau Boulevard                 | El Alto                    | La Paz               | Bolivia
 814 Simferopol Loop                    | El Fuerte                  | Sinaloa              | Mexico
 1866 al-Qatif Avenue                   | El Monte                   | California           | Murica
 270 Toulon Boulevard                   | Elista                     | Kalmykia             | Russian Federation
